21,count
salt,41565
butter,20124
water,15954
sugar,15335
pepper,15015
milk,11179
parmesan cheese,10808
eggs,10248
olive oil,9464
black pepper,8978
flour,8042
cinnamon,7972
vanilla,7769
brown sugar,7127
egg,7105
vanilla extract,6911
lemon juice,6680
sour cream,6470
walnuts,6345
fresh parsley,6044
onion,5775
garlic cloves,5729
parsley,5702
tomatoes,5483
pecans,5399
fresh ground black pepper,5321
all-purpose flour,5020
powdered sugar,5006
cornstarch,4931
cayenne pepper,4879
nutmeg,4878
paprika,4707
cheddar cheese,4644
unsalted butter,4481
raisins,4442
Worcestershire sauce,4394
baking soda,4363
garlic powder,4226
baking powder,4186
chili powder,4175
chicken broth,4043
heavy cream,4028
ground cinnamon,3925
garlic,3873
margarine,3851
fresh cilantro,3454
honey,3441
cilantro,3341
soy sauce,3272
kosher salt,3268
confectioners' sugar,3112
cream cheese,3059
dried oregano,3051
oregano,3040
bay leaf,3038
tomato paste,3006
ground cumin,2928
ground black pepper,2923
mozzarella cheese,2809
cumin,2793
green onion,2763
fresh lemon juice,2695
garlic clove,2690
granulated sugar,2675
extra virgin olive oil,2587
carrots,2543
chocolate chips,2507
dried thyme,2507
fresh basil,2504
bay leaves,2493
buttermilk,2435
thyme,2428
green onions,2397
canola oil,2322
carrot,2283
fresh ground pepper,2278
basil,2262
dried basil,2245
lemon,2220
Dijon mustard,2180
ground cloves,2178
white pepper,2174
ground nutmeg,2170
tomato sauce,2159
sea salt,2062
red onion,2038
celery,2028
mayonnaise,1997
red pepper flakes,1963
lime juice,1950
crushed red pepper flakes,1909
ginger,1900
monterey jack cheese,1887
zucchini,1870
diced tomatoes,1851
Tabasco sauce,1843
bacon,1842
ground ginger,1841
potatoes,1827
red bell pepper,1798
dry white wine,1776
onions,1773
cheese,1691
red wine vinegar,1679
white wine,1660
feta cheese,1638
fresh thyme,1631
ketchup,1610
vinegar,1595
half-and-half,1579
cayenne,1578
fresh ginger,1575
salsa,1571
sharp cheddar cheese,1567
cooked rice,1542
scallions,1536
allspice,1491
avocado,1488
lime,1452
sesame seeds,1442
onion powder,1435
chives,1422
lemon zest,1387
beef broth,1377
dry mustard,1374
cold water,1370
light brown sugar,1368
clove,1367
black beans,1348
flat leaf parsley,1332
molasses,1316
icing sugar,1273
turmeric,1262
green pepper,1232
cider vinegar,1231
maple syrup,1229
curry powder,1225
lettuce,1225
coconut,1218
boiling water,1215
parsley flakes,1212
cauliflower,1203
pine nuts,1196
black olives,1196
green bell pepper,1186
white rice,1183
cherry tomatoes,1182
fresh lime juice,1182
red chili powder,1167
pure vanilla extract,1166
capers,1165
shrimp,1154
large shrimp,1148
swiss cheese,1145
ground coriander,1142
fresh coriander leaves,1142
poppy seed,1133
grape tomatoes,1131
vinegar,1126
quick-cooking oats,1121
brown rice,1106
sunflower seeds,1087
chopped tomato,1084
broth,1079
black beans,1078
light brown sugar,1066
fresh lime juice,1058
lettuce leaves,1057
snow peas,1054
turmeric,1048
tortilla chips,1029
coriander powder,1026
penne pasta,1021
coconut milk,1017
part-skim mozzarella cheese,1015
onions,1009
dried dill,1003
chocolate,999
beef broth,987
cooked brown rice,978
apple,970
dried cherries,967
maple syrup,962
crouton,961
currants,952
ground coriander,930
blueberries,929
stewed tomatoes,917
caster sugar,912
canned pumpkin,907
hot water,906
plain flour,904
creamy peanut butter,899
pecorino romano cheese,889
garam masala,887
corn syrup,886
mango,881
iceberg lettuce,877
cumin powder,874
apple cider,873
crystallized ginger,871
sweetened condensed milk,865
rice,846
table salt,820
mint leaf,806
pure maple syrup,804
heavy whipping cream,763
corn tortillas,742
dry mustard,694
sweet paprika,647
angel hair pasta,571
cardamom,571
baguette,553
whole tomatoes,543
spring onions,542
dried cranberries,533
feta,533
ground turkey,531
oranges,531
watercress,526
green bell pepper,525
fresh dill,515
lemons,507
parmigiano-reggiano cheese,506
basmati rice,500
vegetable shortening,498
dried thyme leaves,497
dried tarragon,496
yellow cornmeal,483
mashed potatoes,483
capers,479
kidney beans,477
prosciutto,475
lemon pepper,475
cinnamon sticks,474
low sodium soy sauce,471
vegetable broth,467
fresh thyme leave,459
of fresh mint,458
brandy,451
green pepper,450
boiling water,449
maraschino cherry,448
evaporated milk,440
light soy sauce,437
curry leaves,436
ricotta cheese,436
phyllo dough,436
white beans,434
white vinegar,431
bread flour,426
pasta,425
broccoli florets,424
plain yogurt,423
cherry tomatoes,422
wheat germ,422
cooked ham,421
eggplant,421
whole kernel corn,416
basil leaves,415
molasses,410
crushed tomatoes,407
spaghetti,407
fish sauce,395
clove,390
vanilla essence,389
cognac,388
yellow mustard,388
dry red wine,386
fresh garlic,384
red chilies,378
Fontina cheese,375
sweet potato,372
lemon slice,371
salmon fillets,370
roasted peanuts,370
turkey,367
fresh rosemary,364
fresh parsley leaves,363
smoked sausage,360
thyme leaves,360
mussels,349
horseradish,346
dried cranberries,343
ground beef,339
red wine,339
fresh raspberry,336
green peppers,335
orzo pasta,335
flour tortillas,333
lemongrass,333
orange  ,330
scallion,329
chicken bouillon cubes,327
fresh cilantro leaves,326
fresh cranberries,319
vegetable broth,316
reduced-fat sour cream,314
granny smith apples,312
great northern beans,307
Thai basil,305
diced green chilies,304
lump crabmeat,303
dried parsley,303
mushrooms,302
orange zest,299
frozen green pea,299
fresh oregano,299
apple cider vinegar,298
oregano leaves,298
button mushrooms,297
chickpeas,297
radish,293
cucumber,293
mushroom,292
fettuccine,291
spinach,290
English cucumber,290
pearl barley,289
fresh chives,287
dried oregano leaves,287
Grand Marnier,286
nonfat sour cream,286
white sugar,285
sherry wine vinegar,281
white sugar,277
saffron thread,277
ground allspice,274
canned tomatoes,274
golden raisin,274
green chilies,273
hot water,271
bananas,271
apples,270
sun-dried tomato,269
low-fat cheddar cheese,269
fresh cilantro stem,268
corn kernel,267
mushrooms,265
mace,265
Splenda granular,265
pesto sauce,265
coconut milk,263
dried rosemary,262
rice,261
fresh dill,260
evaporated milk,259
puff pastry,259
chipotle chile in adobo,256
shortening,254
rolled oats,253
wonton wrappers,253
parsley sprig,253
rice vinegar,253
water chestnuts,253
gruyere,252
boneless skinless chicken breast,250
bean sprouts,250
yukon gold potatoes,250
low sodium chicken broth,243
bread machine yeast,243
fresh mushrooms,243
low sodium beef broth,242
white cheddar cheese,242
rosemary,240
chicken breast,239
white vinegar,238
red cabbage,236
cocoa powder,235
salted peanuts,235
extra-sharp cheddar cheese,234
seasoning salt,233
red chili pepper,232
green chili,231
sliced ripe olives,230
boneless skinless chicken breasts,229
of fresh mint,229
mushroom,228
instant coffee,227
chicken thighs,225
fresh tomato,225
celery rib,224
fresh mozzarella cheese,224
heavy whipping cream,224
chili pepper,224
bok choy,223
diced tomatoes with juice,223
frozen corn,221
vanilla bean,221
rice wine,221
ice cream,219
dark brown sugar,218
herbs,218
fresh rosemary,218
peanuts,217
queso fresco,217
cucumbers,214
corn kernels,214
mangoes,214
maraschino cherries,212
fresh raspberries,211
cooked pasta,211
gouda cheese,211
dry sherry,210
ground pepper,210
wine,209
beef,208
pasta,208
light coconut milk,208
romaine lettuce,207
fish sauce,207
mint sprig,207
chicken,206
liquid smoke,205
parmigiano-reggiano cheese,205
blue cheese,205
long-grain rice,205
tortilla chips,205
wine vinegar,205
okra,204
granny smith apple,203
panko breadcrumbs,203
potato,203
lemon peel,203
salmon,203
cracked black pepper,203
plum tomatoes,203
old fashioned oats,203
fresh tarragon,202
fat free sour cream,202
brewed coffee,201
dried dill weed,201
cardamom pods,200
pimientos,199
caraway seed,197
garam masala powder,197
yoghurt,197
hoisin sauce,197
orange zest,196
fresh parmesan cheese,195
raw sugar,195
pitted black olives,194
green olives,194
walnut halves,194
coarse salt,193
light sour cream,193
boneless skinless chicken thighs,192
leek,192
chipotle chiles in adobo,191
gruyere cheese,190
fresh ginger,190
nonfat milk,189
red wine,188
dried sage,188
arugula,188
lettuce leaf,187
pumpkin pie spice,187
whole cloves,186
Cool Whip,186
pine nuts,185
unbleached all-purpose flour,184
cooked white rice,184
asparagus,184
frozen blueberries,182
low-fat sour cream,182
flour tortillas,181
frozen spinach,179
pineapple,179
cider vinegar,179
fresh chives,178
pistachios,177
Splenda sugar substitute,176
cucumber,176
ghee,175
swiss cheese,175
tortillas,174
coconut oil,174
coconut,173
peanuts,173
Velveeta cheese,172
boneless skinless chicken breast halves,172
catsup,172
kale,171
long grain rice,171
dried parsley flakes,171
ground mustard,170
kalamata olives,168
ground allspice,167
ground pork,167
curry powder,167
American cheese,167
bell peppers,167
dried parsley,166
fresh coriander,166
quick oats,166
green cabbage,165
romano cheese,163
low sodium chicken broth,162
egg substitute,161
low-fat milk,160
dark brown sugar,160
artichoke hearts,159
reduced-sodium chicken broth,157
light corn syrup,157
rosemary,155
blueberries,155
poppy seeds,155
frozen corn kernels,154
russet potatoes,154
diced tomato,154
green peas,154
tamari,154
green bell peppers,153
shortening,152
orange marmalade,152
sweet onion,151
berries,149
macaroni,149
flaked coconut,149
beer,149
corn,149
coarse sea salt,149
pears,148
bacon bits,147
beef bouillon cubes,146
ground pepper,146
turbinado sugar,146
peppercorns,146
colby-monterey jack cheese,145
cabbage,145
radishes,145
gorgonzola,144
lemon wedge,143
rigatoni pasta,143
fresh tomatoes,142
low-fat buttermilk,142
fresh flat-leaf parsley,139
chilies,139
green beans,137
bittersweet chocolate,133
fresh lemon rind,130
dry sherry,129
tomato puree,129
mascarpone cheese,128
pecan pieces,128
roma tomato,124
white wine vinegar,123
fresh spinach,121
ground beef,121
white flour,121
sliced water chestnuts,120
fettuccine pasta,118
unsweetened coconut,116
adobo sauce,116
firm tofu,114
unflavored gelatin,113
shallots,113
walnut pieces,113
apples,113
cake flour,112
cinnamon stick,111
clams,111
tuna,108
spring onion,108
